Estimator,Mean features,SD features,Mean Acc,SD Acc
map_vs_tmean+log,2.2,0.39999999999999997,0.6280000000000001,0.046216880033165375
map_summary_median,2.2,0.39999999999999997,0.628,0.04118252056394802
w_summary_mode,10.0,0.0,0.628,0.03400000000000001
map_summary_mode,2.2,0.39999999999999997,0.627,0.03848376280978771
w_summary_mean,10.0,0.0,0.626,0.049839743177508444
w_summary_median,10.0,0.0,0.625,0.042485291572496
w_summary_tmean,10.0,0.0,0.625,0.044553338819890924
map_summary_tmean,2.2,0.39999999999999997,0.625,0.04341658669218484
map_pp_mode,2.2,0.39999999999999997,0.624,0.04779121258139407
map_pp_median,2.2,0.39999999999999997,0.6230000000000001,0.040261644278394786
map_vs_median+log,2.2,0.39999999999999997,0.623,0.03551056180912941
w_vs_tmean+log,10.0,0.0,0.622,0.05075431016179809
pp_mode,10.0,0.0,0.622,0.04643274706497559
map_pp_tmean,2.2,0.39999999999999997,0.6209999999999999,0.04299999999999997
w_pp_mean,10.0,0.0,0.62,0.042190046219457954
map_vs_mode+log,2.2,0.39999999999999997,0.62,0.030331501776206228
pp_mean,10.0,0.0,0.62,0.042190046219457954
pp_tmean,10.0,0.0,0.619,0.04253234063627346
w_vs_mode+log,10.0,0.0,0.619,0.030479501308256367
map_pp_mean,2.2,0.39999999999999997,0.619,0.04299999999999999
pp_median,10.0,0.0,0.619,0.03935733730830886
w_pp_median,10.0,0.0,0.619,0.04134005321718876
w_pp_tmean,10.0,0.0,0.619,0.04253234063627346
w_pp_mode,10.0,0.0,0.618,0.04214261501141094
map_summary_mean,2.2,0.39999999999999997,0.6179999999999999,0.04093897898091743
w_vs_median+log,10.0,0.0,0.6179999999999999,0.04261455150532503
flog,2.6,1.3564659966250536,0.617,0.0352278299076171
w_vs_mean+log,10.0,0.0,0.6130000000000001,0.05020956084253279
rkvs+log,4.7,2.8653097563788807,0.613,0.03132091952673168
manual+log,6.8,2.181742422927143,0.6120000000000001,0.04812483766206385
log,100.0,0.0,0.612,0.047707441767506256
map_vs_mean+log,2.2,0.39999999999999997,0.611,0.03961060464067673
apls+nc,5.7,2.7586228448267445,0.606,0.035552777669262355
apls+log,4.9,1.9723082923316022,0.6050000000000001,0.03930648801406708
fnc,100.0,0.0,0.6039999999999999,0.041761226035642196
flda,3.9,1.3,0.6020000000000001,0.04044749683231337
mdc,100.0,0.0,0.6000000000000001,0.04242640687119285
pls+log,4.2,1.8330302779823362,0.6,0.04816637831516919
fpca+log,6.4,2.764054992217051,0.599,0.04721228653645151
pca+log,6.0,2.4899799195977463,0.5970000000000001,0.04290687590584987
pls+nc,3.1,2.2561028345356955,0.5930000000000001,0.03822302970723277
pca+qda,3.6,1.2,0.583,0.0469148164229596
lda,100.0,0.0,0.5589999999999999,0.03961060464067672
fknn,100.0,0.0,0.538,0.04894895300208166
qda,100.0,0.0,0.53,0.0
